##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;Err:510;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, 'ｧ' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;ｧA = 0,64,0;;;;;;;;;;X
##;ｧB = 0,0,192;;;;;;;;;;X
##;ｧC = 128,0,0;;;;;;;;;;X
##;ｧD = 255,255,0;;;;;;;;;;X
##;ｧE = 255,0,255;;;;;;;;;;X
##;ｧF = 255,128,0;;;;;;;;;;X
##;ｧG = 0,100,0;;;;;;;;;;X
##;ｧH = 128,128, 128;;;;;;;;;;X
##;ｧI = 0,0,255;;;;;;;;;;X
##;ｧJ = 0,192,0;;;;;;;;;;X
##;ｧM = 100,255,100;;;;;;;;;;X
##;ｧN = 255,100,100;;;;;;;;;;X
##;ｧR = 240,0,0;;;;;;;;;;X
##;ｧW = 255,255,255;;;;;;;;;;X
##;ｧY = 208,232,248;;;;;;;;;;X
##;ｧZ = 0,0,0;;;;;;;;;;X
##;ｧｧ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;========================;========================;========================;========================;========================;========================;========================;========================;;========================;X
ALLIANCE_ENTENTE;協商国;T. Entente;;;;;;;;;X
DPERSONALITY_ZAPATA2;「エミリアーノ・サパタ」（1879年8月8日 - 1919年4月10日）はメキシコ連邦政府軍に対する成功したゲリラ戦とサパティストの支配下にある地域での民衆のための社会改革を導入を組織しました。彼の南部自由軍の勢力は大きく、それは彼のカリスマ性、ゲリラ戦略と社会の労働者階級からの支援に基づくものでした。;Emiliano Zapata organized both a succesfull guerilla war against the federal forces and managed to introduce popular social reforms in the regions held by the Zapatistas. The power of his Liberation Army of the South was largerly based on his charisma, guerilla strategy and the support from the lower classes of the society.;;;;;;;;;X
NPERSONALITY_GUERILLA_WARFARE_DOCTRINE;ゲリラ戦ドクトリン;Guerilla warfare doctrine;;;;;;;;;X
DPERSONALITY_GUERILLA_WARFARE_DOCTRINE;ゲリラ戦は主に待ち伏せ、妨害、襲撃または桁外れた機動性を持つヒットエンドラン戦法という非正規戦術の型です。通常戦闘部隊は地形を有効活用するため機動性、軽装備の小隊規模で、現地住民の支援を受けます。師団や軍団レベルの敵に対して使用することで成功を収めました。このような戦術はしばしば装備の良い敵にとの遭遇では非対称戦と呼ばれます。ゲリラ戦は20世紀の戦略における、より緻密な戦術手法と相対しても効果的であると判明しました。ゲリラ兵という表現は事実上、ナポレオンに抵抗したスペイン人集団に由来します。;Guerilla warfare is a form of irregular warfare which is mainly based on such military tactics as ambushes, sabotage, raids or surprise hit and run attacks and extraordinary mobility. Fighting forces usually consist of small, mobile, lightly armed groups, that take advantage of terrain and usually have support of the local population. But it has been succesfully used on divisional and army level as well. Such warfare often is asymmetrical being engaged against better equipped enemy, though guerilla warfare proved to be effective even in the face of ever more sophisticated warfare tools and strategies of the 20th century. The term of guerilla fighters is traced back to Spanish bands who effectively opposed Napoleon.;;;;;;;;;X
##;;;;;;;;;;;X
SOVSFR;ロシア・ソビエト共和国;Soviet Russian Republic;;;;;;;;;X
NPERSONALITY_PLANNED_ECONOMY_PROPONENT;計画経済の提唱者;Planned Economy Proponent;;;;;;;;;X
DPERSONALITY_PLANNED_ECONOMY_PROPONENT;計画経済は経済の資源配分を市場の価格調整メカニズムに任せるのではなく、国家計画に基づいて物財のバランス配分する経済体制です。;A planned economy is an economic system in which decisions regarding production and investment are embodied in a plan formulated by a central authority, usually by a government agency.;;;;;;;;;X
NPERSONALITY_KEYNESIAN;ケインズ経済学の提唱者;Keynesian Economy Proponent;;;;;;;;;X
DPERSONALITY_KEYNESIAN;「ケインズ経済学の提唱者」は、民間の有効需要の水準によって国民所得と雇用が決定され、経済が不況のときに政府が公共投資を増やし、景気の落ち込みを防ぐというケインズ経済学を実践しようとしています。;Keynesian economics argues that private sector decisions sometimes lead to inefficient macroeconomic outcomes and, therefore, advocates active policy responses by the public sector, including monetary policy actions by the central bank and fiscal policy actions by the government to stabilize output over the business cycle.;;;;;;;;;X
NPERSONALITY_REFORMER;軍の改革者;Reformer of the Army;;;;;;;;;X
DPERSONALITY_REFORMER;「軍の改革者」は、軍隊の近代化に全力を尽くそうとしています。;The Reformer of the Army concentrates his effort on the modernization of the armed forces.;;;;;;;;;X
NPERSONALITY_CONSTRUCTION_MAGNATE;建設王;Construction Magnate;;;;;;;;;X
DPERSONALITY_CONSTRUCTION_MAGNATE;「建設王」は、建設業での大きな実力を持っています。彼は産業の生産性を増加させて、道路、空港、海軍基地等のインフラ建設の効率を向上させることができます。;The Construction Magnate has a prominent place in the construction industry. He can use his position to increase the productivity of his industries and boost the construction of roads, airports, naval base and others infrastructures.;;;;;;;;;X
NPERSONALITY_BUDGET;財政均衡経済の提唱者;Balanced Budget Proponent;;;;;;;;;X
DPERSONALITY_BUDGET;「財政均衡経済の提唱者」は均衡予算、金融引締め、福祉に対する制限および対外援助を削減し、いわゆる「トリクルダウン（金持ちを儲けさせれば貧乏人もおこぼれに与れるという政治思想でレッセフェール（自由放任主義）につながるものである）」と戦います。;This minister fights to have a balanced budget, with tight money, limits on welfare and foreign aid.;;;;;;;;;X
NPERSONALITY_MIXED;混合経済の提唱者;Mixed Economy Proponent;;;;;;;;;X
DPERSONALITY_MIXED;「混合経済の提唱者」は、計画経済と市場経済の混合システムである混合経済を推進しようとします。混合経済とは自由放任の政治経済の思想に対し、多くの国営企業が市場に参入したり、政府が経済政策を主導し、社会経済に多くの影響力を行使する経済体制です。;Mixed economy is an economic system in which both the state and the private sector direct the economy, with characteristics proper of both market economies and planned economies. Most mixed economies can be described as market economies with strong regulatory oversight, in addition to having a variety of government-sponsored aspects.;;;;;;;;;X
NPERSONALITY_HEALTH;社会福祉の提唱者;Health and Safety Proponent;;;;;;;;;X
DPERSONALITY_HEALTH;「社会福祉の提案者」は、政府の主目的が労働者の安全対策や医療制度を改善することだと信じています。;Health and Safety Proponent believes that the primary purpose of a government is to improve the workers' safety and the health care system.;;;;;;;;;X
NPERSONALITY_POLICE;秘密警察の人物;Chief of Secret Police;;;;;;;;;X
DPERSONALITY_POLICE;「秘密警察の人物」は、地域住民内の不満や反政府的な不穏分子を排除するため、その地位を利用します。;The Chief of Secret Police uses his position to root out dissent and disloyal elements within the local population.;;;;;;;;;X
NPERSONALITY_COMMANDO_DOCTRINE;特殊部隊の提唱者;The Special Forces Proponent;;;;;;;;;X
DPERSONALITY_COMMANDO_DOCTRINE_ARMY;「特殊部隊の提唱者」は、高度に訓練された特別部隊の投入こそが戦争を有利に導く鍵であると信じています。;This Chief of the Army belives that the use of highly trained Special Forces can make the difference in the battle.;;;;;;;;;X
DPERSONALITY_COMMANDO_DOCTRINE_STAFF;「特殊部隊の提唱者」である参謀総長は、特殊部隊の有用性を信じ、小さなグループだが高度に訓練された部隊が近代戦の鍵であることを信じています。;This Chief of the Staff believes in the use of Special Forces and teaches that small but highly trained formations are the essence of modern warfare.;;;;;;;;;X
NPERSONALITY_AUTONOMY_DOCTRINE;自立性ドクトリン;The Doctrine of Autonomy;;;;;;;;;X
DPERSONALITY_AUTONOMY_DOCTRINE;「自立性ドクトリン」の参謀総長は、実戦指揮官の自主性を重視し、戦場の実戦指揮官に命令の自由裁量を与えることが戦争に勝つ鍵であると信じています。;This Chief of the Staff believes in the Doctrine of Autonomy. This means that allowing the operational commanders freedom of command is essential for winning the war.;;;;;;;;;X
NPERSONALITY_REICHSKOMMISSAR;ドイツ国家弁務官;Reichskommissar;;;;;;;;;X
DPERSONALITY_REICHSKOMMISSAR;「ドイツ国家弁務官」は、アドルフ・ヒトラーから与えられた地位です。第二次世界大戦中に占領された地域では、ドイツ国家弁務官を指導者とする占領地域委員会が組織され、独裁・抑圧的な方法で割り当てられた地域を統治する最高行政機関となりました。;The title of Reichskommissar was given by Adolf Hitler to a number of Nazi governors in several occupied countries during World War II. The Reichskommissars were the supreme civil authorities in their assigned territories, usually ruling with dictatorial and repressive methods.;;;;;;;;;X
##;;;;;;;;;;;X
NPERSONALITY_ger_mil_m1;ドイツ軍事顧問;German Military Mission;;;;;;;;;X
DPERSONALITY_ger_mil_m1;「ヴァルデマール・パイパー」（1871年8月14日 - 1945年2月24日）は、ドイツ海軍軍人です。艦長として指揮した装甲巡洋艦「SMS ヨルク」の沈没の責任を負うことになりました。1914年11月4日「SMS ヨルク」は濃霧の中、ヴィルヘルムスハーフェンへ向けて出航しましたが、ドイツ軍敷設の機雷に触雷して転覆沈没しました。乗員336人が死亡し、海防戦艦「SMS ハーゲン」によって381人が救助されました。沈没の責任を問われて逮捕拘禁されることを逃れるために、彼はオスマン帝国軍事顧問団の一員に志願しました。しかし、ヴィルヘルム・ゾーヒョン提督とグイド・フォン・ウーゼドム提督は、彼に顧問団の中でいかなる地位も与えませんでした。その頃、オスマン帝国では弾薬生産が滞っており、戦場で弾薬不足が生じていました。ゾーヒョンは、エンヴィルに対してオスマン帝国の弾薬生産をパイパーの管理下において再編成するように要求しました。すべての工場はドイツの管理下に置かれ、続く2、3か月で生産が改善しました。これらの類まれなる貢献により、ヴィルヘルム2世はパイパーの名誉回復としかるべき地位を与えるように指示しました。;Captain Pieper was made responsible for the sinking of battleship SMS Yorck of which he held command. In the fog his ship collided with a German mine. To prevent being imprisoned he accepted to serve in the military mission to the Ottoman Empire, but Souchon and Usedom refused to give him any position in the staff. At that time, Ottoman's ammunition production was in very disastrous condition and Souchon convinced Enver to reorganize the whole production under the lead of Pieper. In a couple of months all factories came under German control. Because of his extraordinary contribution in this position Wilhelm II has give him a reprieve. ;;;;;;;;;X
NPERSONALITY_ger_mil_m2;ドイツ軍事顧問;German Military Mission;;;;;;;;;X
DPERSONALITY_ger_mil_m2;「ハインリヒ・アウグスト・マイスナー」（1862年1月3日 - 1940年1月14日）は、技師であり、鉄道建設を専門にしていました。ごく初期にマイスナーはオスマン帝国で生活することを決断していました。彼は、1900年から1909年まで建造が行われたヒジャーズ鉄道の建設責任者でした。1910年以降、バグダード鉄道の建設責任者に就任しました。オスマン帝国軍の目標の1つはスエズ運河の占領でした。しかし、パレスチナとシナイ半島のインフラは非常に劣悪でした。エルサレムからシナイ半島の前線へは、非舗装道路を徒歩で移動しなければなりませんでした。マイスナーはオスマン帝国軍から、この地域に軍用鉄道を敷設することを求められました。;MeiBner was an engineer and a railway constructor. Already early in his life he decided to work in Turkey. He was chief engineer of the Hejaz Railway which was built from 1900 to 1909 and since 1910 he was responsible for the construction of the Baghdad Railway. One of the goals of the Ottoman Army was the occuaption of the Suez Canal, but the infrastructure in Palestine and Sinai were in a bad condition. From Jerusalem to the Sinai front, troops had to travel by foot on non-paved roads. MeiBner was instructed by the Ottoman Army to built a military railway in this region.;;;;;;;;;X
NPERSONALITY_ger_mil_m3;ドイツ軍事顧問;German Military Mission;;;;;;;;;X
DPERSONALITY_ger_mil_m3;「フリードリヒ・ブロンザルト・フォン・シェレンドルフ」（1864月6月16日 - 1950年1月23日）は、ドイツ軍人です。1913年に設立され1914年に増員されたドイツ軍事顧問の一人で、オスマン帝国軍参謀長になりました。彼はオスマン帝国戦争大臣兼最高司令官エンヴェル・パシャと一緒に指揮を取りました。彼は、ドイツ軍事顧問団長オットー・リーマン・フォン・ザンデルスと不仲でした。1917年、更迭されハンス・フォン・ゼークトが後任になりました。;Bronsart was part of the German military mission since her establishment in 1913 and in 1914 he became chief of staff of the Ottoman Army. He worked closely with Enver, the Ottoman war minister and generalissimo. He had bad relations with the head of military mission Liman von Sanders, which cause his replacement in 1917 by Hans von Seeckt.;;;;;;;;;X
NPERSONALITY_ger_mil_m4;ドイツ軍事顧問;German Military Mission;;;;;;;;;X
DPERSONALITY_ger_mil_m4;「ハンス・フォン・ゼークト」（1866年4月22日 - 1936年12月27日）は、ドイツ軍人です。第一次世界大戦勃発時には第3軍団参謀長でした。戦時中には主に東部戦線に従軍し、第11軍の参謀長としてグルリッツ・タルノウ突破作戦、第二次セルビア侵攻作戦の計画を立案し、名声をうけました。1917年、ドイツ軍事顧問団に加わり、オスマン軍総参謀長として「フリードリヒ・ブロンザルト・フォン・シェレンドルフ」の後任になりました。後にゼークトはヴァイマール共和国の重要な軍人になりました。;At the beginning of the Great War Seeckt was chief of staff of the III. Armee-Korps. Since 1915 he was chief of staff under general Mackensen and in 1917 he joined the German military mission and replaced Bronsart von Schellendorf as chief of staff of Ottoman Army. Seeckt became an important military figure in the Weimar Republic.;;;;;;;;;X
NPERSONALITY_ger_mil_m5;ドイツ軍事顧問;German Military Mission;;;;;;;;;X
DPERSONALITY_ger_mil_m5;「ヴィルヘルム・アントン・ゾーヒョン」（1864年6月2日 - 1946年1月13日）は、ドイツ海軍軍人です。1913年、ドイツ海軍地中海艦隊の指揮官になりました。第一次世界大戦勃発直後の1914年7月、「ゲーベン追跡戦」と呼ばれる英国海軍地中海艦隊の追撃から逃れるため、イスタンブールに避難しました。当時のオスマン帝国海軍は、英国軍事顧問団の指揮下にありましたが、英国政府がオスマン帝国の戦艦「スルタン・オスマン1世」を接収した事件で民衆の反英感情が高まっていたこともあり、英国政府の抗議にも関わらず、オスマン帝国政府はドイツ地中海艦隊を自軍に編入すべく行動を起こしました。1か月後、オスマン帝国は英国軍事顧問団の国外退去を通告し、ゾーヒョン提督がオスマン帝国艦隊の最高司令官になりました。;Souchon was made commander of German naval forces in the Mediterranean (Mittelmeerdivision) in 1913. At the outbreak of the war he bombarded some ports on Algerian coast and fled from British Navy to Constantinople where he handed over his squadron to the Ottoman Navy. The Ottoman Empire expelled Admiral Limpus   who held the command of Ottoman fleet hitherto   and his British Naval Mission. Souchon was made supreme commander of the Ottoman Navy.;;;;;;;;;X
NPERSONALITY_ger_mil_m6;ドイツ軍事顧問;German Military Mission;;;;;;;;;X
DPERSONALITY_ger_mil_m6;「フーベルト・フォン・レベウア＝パシヴィッツ」（1863年8月14日 - 1933年2月16日）は、ドイツ海軍軍人です。黒海で活躍したゾーヒョン提督が大洋艦隊第2戦隊司令として本国に帰還後の後任として、1917年オスマン帝国艦隊の最高司令官になりました。;In 1917 Wilhelm Souchon became commander of the High Seas Fleet (Hochseeflotte) when Rebeur-Paschwitz took over his command as chief of Ottoman Navy. Before he was commander of the II. Squadron (II. Geschwader).;;;;;;;;;X
NPERSONALITY_ger_mil_m7;ドイツ軍事顧問;German Military Mission;;;;;;;;;X
DPERSONALITY_ger_mil_m7;「エーリヒ・ゼルノ」（1886年 - 1963年）少佐は、ドイツ軍飛行パイロットでした。1912年、ゼルノはパイロットのライセンスを取得しました。1914年10月、在オスマン帝国ドイツ軍事顧問団の一員となり、オスマン帝国航空隊を設立するように要請され、1915年ゼルノはオスマン帝国航空隊の指揮官になり、パイロットの訓練と航空隊の組織運営を行いました。航空隊は4機の水上機で構成され、17の戦場で陸軍の作戦を支援しました。;Serno was one of the first pilots of military aircrafts. He received his pilot's licence in 1912 and so he ranked to the so-called Old Eagles (Alte Adler). In October 1914 he joined the German military mission as squadron leader and he convinced the Ottoman military leadership to establish an air force. Serno was made Chief of Frontline Aviation (Feldflugchef) in 1915 and was then responsible for training and organization. It was his idea to give the pilots a distinct uniform (a winged crescent and star on their hats).;;;;;;;;;X
NPERSONALITY_ger_mil_m8;ドイツ軍事顧問;German Military Mission;;;;;;;;;X
DPERSONALITY_ger_mil_m8;「コンラート・ゴルツ」（1881年10月8日 - 1947年1月10日）は、ドイツ軍人です。1917年にドイツ軍事顧問団に加わりました。彼はオスマン帝国海軍航空隊の指揮官になりました。;Goltz joined the German Military mission in 1917. He was made General Inspector of the Ottoman Naval Air Force.;;;;;;;;;X
NPERSONALITY_ger_mil_m9;ドイツ軍事顧問;German Military Mission;;;;;;;;;X
DPERSONALITY_ger_mil_m9;「ザイフェルト」は、諜報活動を行うオスマン帝国戦争省第2部の指揮官でした。1915年、ザイフェルト中佐は作戦部の指揮官になり、準軍事的な部隊を組織しました。;The 2nd department of the Ottoman war ministry was responsible for Intelligence. In 1915 Lt. Colonel Sievert was made its chief of operations and organized paramilitary units.;;;;;;;;;X
NPERSONALITY_ger_mil_m10;ドイツ軍事顧問;German Military Mission;;;;;;;;;X
DPERSONALITY_ger_mil_m10;「エチエンヌ・ペリネ・フォン・トーヴネ」（1870年1月30日 - 1927年8月31日）は、ドイツ軍人です。1907年-1911年の義和団の乱を鎮圧するため、アルゼンチン軍の顧問として中国へ派遣されました。1913年、在オスマン帝国ドイツ軍事顧問団の一員となり、オスマン陸軍を指導しました。第一次大戦開戦直前に帰国しました。1915年、情報通信担当の指揮官として、再度ドイツ軍事顧問団の一員となりました。;Thauvenay was a globetrotter. He took part on the expedition to surpress the Boxer Rebellion and from 1907 to 1911 he was an advisor in the Argentinian Army. In 1913 he joined the German military mission to the Ottoman Empire and when war started back in Germany he was made company commander. He rejoined the military mission in 1915 as chief of intelligence and communication.;;;;;;;;;X
NPERSONALITY_ger_mil_m11;ドイツ軍事顧問;German Military Mission;;;;;;;;;X
DPERSONALITY_ger_mil_m11;「エルンスト・ユリウス・グイド・フォン・ウーゼドム」（1854年10月2日 - 1925年2月24日）は、ドイツ海軍軍人です。1910年に海軍中将の地位を最後に退役しました。1914年8月、オスマン帝国が英国海軍リンパス提督によって率いられた英国軍事顧問団を追放した後、ドイツ帝国が軍事顧問団を派遣しました。1914年8月16日、エンヴェル・パシャは、ダーダネルス海峡と海岸防衛線強化の全面改修をドイツに要求しました。この任務に当てるため、8月25日に退役海軍中将グイード・フォン・ウーゼドムを「Generalinspekteur der Kustenverteidigung an den Dardanellen（ダーダネルス海峡沿岸防衛査察総監）」として現役復帰させました。彼の指揮の下、26人の士官と520人の専門チームがイスタンブールへ送られました。このチームは「der Turkei（オスマン帝国海軍特殊部隊）」と呼ばれ、ダーダネルス海峡の防衛線強化に尽力しました。;Usedom retired as vice-admiral in 1910. When in August 1914 the Ottoman Empire requested a compensation for the recently dismissed British naval mission headed by admiral Limpus, the German Empire immediately sent a mission   the so called Imperial Navy's Special Command Unit in Turkey (Sonderkommando der Kaiserlichen Marine in der Turkei) - to Istanbul headed by the reactivated Guido von Usedom. This mission was responsible for the defence network of the Dardanelles.;;;;;;;;;X
NPERSONALITY_brit_nav_mis;イギリス軍事顧問;British Naval Mission;;;;;;;;;X
DPERSONALITY_brit_nav_mis;「アーサー・ヘンリー・リンパス」（1863年6月7日 - 1931年11月3日）は、イギリス海軍提督です。1909年-1911年ポーツマスの本国艦隊の提督になり、1912年から在オスマン帝国英国海軍軍事顧問団の責任者となり、オスマン帝国艦隊の海軍最高司令官も兼ねていました。1914年8月15日、ヴィルヘルム・ゾーヒョン提督率いるドイツ海軍地中海艦隊が英国海軍の追撃を逃れるため、イスタンブールに避難しました。英国政府がオスマン帝国の戦艦「スルタン・オスマン1世」を接収した事件で民衆の反英感情が高まっていたこともあり、英国政府の抗議にも関わらず、オスマン帝国政府はドイツ地中海艦隊を自軍に編入すべく行動を起こしました。同時期にオスマン帝国政府は英国軍事顧問団の国外退去を通告し、1か月後、リンパス提督はオスマン帝国を去りました。;Since 1912 admiral Limpus was the head of the British naval mission to the Ottoman Empire. He was an advisor for the Ottoman navy ministry and was the supreme commander of the Ottoman fleet. He was dismissed as supreme commander during the negotiations between the German admiral Souchon   who arrived in Istanbul with his fleet   and the Ottoman leadership. The Ottoman Empire canceled the British naval mission on 15th August 1914 and Limpus left Turkey one month later.;;;;;;;;;X
NPERSONALITY_HIMMLER;親衛隊全国指導者;SS Reichsfuhrer;;;;;;;;;X
DPERSONALITY_HIMMLER;「ハインリヒ・ルイトポルト・ヒムラー」（1900年10月7日 - 1945年5月23日）はドイツの政治家で、国家社会主義ドイツ労働者党（ナチ党）の親衛隊（SS）の第4代親衛隊全国指導者です。ナチ党の政権掌握後、全ドイツ警察長官やヒトラー内閣内務大臣などを歴任し、ドイツの警察権力を掌握しました。;Heinrich Himmler was Reichsfuhrer of the SS, a military commander and a leading member of the Nazi Party. As Chief of the German Police and later the Minister of the Interior, Himmler oversaw all internal and external police and security forces, including the Gestapo (Secret State Police).;;;;;;;;;X
NPERSONALITY_FRICK;無慈悲な調整家;The Ruthless Organizer;;;;;;;;;X
DPERSONALITY_FRICK;「ヴィルヘルム・フリック」（1877年3月12日 - 1946年10月16日）は、ドイツの政治家で、国家社会主義ドイツ労働者党（ナチ党）国会議員団長、チューリンゲン州内相兼教育相、ドイツ内相、ベーメン・メーレン保護領総督を歴任しました。内相として全権委任法、ニュルンベルク法、強制的同一化政策の制定、中央集権体制を確立のため地方政府の自治権を奪い、ナチス式敬礼の義務化に大きく貢献しました。;Wilhelm Frick was a prominent German Nazi official serving as Minister of the Interior of the Third Reich. Frick took a leading part in Germany's re-armament in violation of the Versailles Treaty. He drafted laws introducing universal military conscription and extending the military service law to Austria after the Anschluss, as well as to the annexed regions of Czechoslovakia.;;;;;;;;;X
NPERSONALITY_CANARIS;有能なスパイ指揮官;Brilliant Spymaster;;;;;;;;;X
DPERSONALITY_CANARIS;「ヴィルヘルム・フランツ・カナリス」（1887年1月1日 - 1945年4月9日）は、ドイツ海軍の軍人で、アプヴェーア（国防軍情報部）の指揮官でした。アプヴェーア長官として携わった工作には、IRAの対英テロやフランコ将軍のクーデター、アラブの民族主義者によるパレスチナ、イラク、エジプトにおける反英運動の支援などがあります。彼は、諜報機関のトップとしてアドルフ・ヒトラーを補佐する反面、水面下で反逆するなど、ナチス・ドイツにおける不可解な人物の一人として知られています。;Wilhelm Canaris was a German admiral, head of the Abwehr, the German military intelligence service, from 1935 to 1944 and member of the German Resistance.In 1937 he was still a supporter of Hitler, considering him to be the only solution against communism and a hope for the national revival of Germany. By 1938, however, he had realised that Hitler's policies and plans would lead Germany to disaster and secretly began to work against the regime.;;;;;;;;;X
NPERSONALITY_HEYDRICH;処刑人;The Hangman;;;;;;;;;X
DPERSONALITY_HEYDRICH;「ラインハルト・トリスタン・オイゲン・ハイドリヒ」（1904年3月7日 - 1942年6月4日）は、ドイツの政治家で、国家保安本部（RSHA）の初代長官です。ドイツの政治警察権力を一手に掌握し、ハインリヒ・ヒムラーに次ぐ親衛隊の実力者となりました。その冷酷さから「金髪の野獣」と渾名され、戦時中にはベーメン・メーレン保護領（チェコ）の統治にあたっていましたが、英帝国政府及びチェコスロバキア在英亡命政府が送りこんだチェコ人部隊により暗殺されました。;Heydrich was a high-ranking German Nazi official. He was chief of the Reich Main Security Office (including the SD, Gestapo and Kripo and Deputy Reich-Protector of Bohemia and Moravia. Heydrich and his SD successfully convinced Joseph Stalin that the leadership of the Red Army was planning a coup in the Soviet Union. This lead to the Great Purge of the Soviet military that resulted in the execution of Mikhail Tukhachevsky and seven other top Soviet commanders.;;;;;;;;;X
NPERSONALITY_NEURATH;職業外交官;Respectable Compromiser;;;;;;;;;X
DPERSONALITY_NEURATH;「コンスタンティン・ヘルマン・カール・フォン・ノイラート」（1873年2月2日 - 1956年8月14日）は、ドイツの外交官、政治家、貴族（男爵）で、1919年にデンマーク公使、1921年から1930年までイタリア大使を務め、1930年から1932年まで駐英大使に就任し、1932年6月2日フランツ・フォン・パーペン内閣で外務大臣（1932年-1938年）に就任しました。ヒトラー内閣成立後、国際的知名度の高かったノイラートは、パーペンやシャハトと並んで実務経験の乏しいヒトラー内閣に箔をつける役割を担いました。;He was a German diplomat remembered mostly for having served as Foreign minister of Germany between 1932 and 1938. Holding this post in the early years of Adolf Hitler's regime, Neurath was regarded as playing a key role in the foreign policy pursuits of the Nazi dictator in undermining the Treaty of Versailles and territorial expansion in the prelude to World War II, although he was often averse tactically if not necessarily ideologically.;;;;;;;;;X
NPERSONALITY_RIBBENTROP;詐欺師;The Salesman of Deception;;;;;;;;;X
DPERSONALITY_RIBBENTROP;「ウルリヒ・フリードリヒ・ヴィルヘルム・ヨアヒム・フォン・リッベントロップ」（1893年4月30日 - 1946年10月16日） はドイツの実業家、政治家でコンスタンティン・フォン・ノイラートの後任として、ヒトラー内閣の外務大臣を1938年から1945年にかけて務めました。犬猿の仲といわれたヒトラーとスターリンが手を結んだ独ソ不可侵条約締結で、世界中に衝撃を与えました。1940年11月にモロトフ・ソ連外相が訪独すると、日独伊三国同盟にソ連を引き入れ、汎ユーラシア大陸ブロックを形成して、イギリスを倒す構想を語りました。しかし1941年、ドイツの対ソ宣戦布告文書を手渡したのはリッベントロップでした。;Joachim von Ribbentrop was Foreign Minister of Germany from 1938 until 1945. Ribbentrop played a key role in the conclusion of a Soviet-German non-aggression pact, the Molotov-Ribbentrop Pact, in 1939, and in the diplomatic action surrounding the attack on Poland.;;;;;;;;;X
NPERSONALITY_GOERING;鉄の騎士;The Iron Knight;;;;;;;;;X
